Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/09/2020,WITHDRAWAL  @ IN LEBANON STARBUCKS STORE 139USSTARBUCKS STORE  Trace #57143,,9.7,debit,,,,,
11/07/2020,WITHDRAWAL  @ IN INDIANAPOLIS 5601 GUION RD USVILLAGE PANTRY 5  Trace #924526,,12.23,debit,,,,,
11/07/2020,WITHDRAWAL  @ CA ADOBE.LY/ENUS ADOBE *800 833 668USADOBE *800 833  Trace #80493,,21.39,debit,,,,,
11/07/2020,WITHDRAWAL  @ CA HELP.UBER.COM UBER EATS USUBER EATS  Trace #75687,,46.25,debit,,,,,
11/06/2020,WITHDRAWAL  @ NY 877 7781161 Spotify USA USSpotify USA  Trace #55872,,9.99,debit,,,,,
11/06/2020,WITHDRAWAL  @ NY HUNGRYROOT.CO HUNGRYROOT.COM USHUNGRYROOT.COM  Trace #38645,,104.89,debit,,,,,
11/05/2020,WITHDRAWAL  @ CA NETFLIX.COM NETFLIX.COM USNETFLIX.COM  Trace #14179,,12.99,debit,,,,,
11/04/2020,WITHDRAWAL  @ IN Indianapolis Speedway 2053 S SheUSSpeedway 2053 S  Trace #723458,,7.06,debit,,,,,
11/04/2020,WITHDRAWAL  @ IN INDIANAPOLIS 02311 RAYMOND & SHUSCVS/PHARMACY #02  Trace #16785,,9.39,debit,,,,,
11/04/2020,WITHDRAWAL  @ DEBIT UNPOSTED,,8.57,debit,,,,,
11/04/2020,DEPOSIT-ACH-20 VENMO (CASHOUT),,420.0,credit,,,,,
11/03/2020,WITHDRAWAL-ACH-A-BSCARD MPS4- SEOD345678 (MPSEFT) INDIANAPOLIS STAR OFFLINE DEBIT,,9.99,debit,,,,,
11/03/2020,WITHDRAWAL-ACH-A-BSCARD MPS4- SEOD345678 (MPSEFT) MCDONALD'S F2508 OFFLINE DEBIT,,11.53,debit,,,,,
11/03/2020,WITHDRAWAL-ACH-A-BSCARD MPS4- SEOD345678 (MPSEFT) AMAZON.COM*287T97AX0 OFFLINE DEBIT,,25.04,debit,,,,,
11/03/2020,WITHDRAWAL-ACH-A-BSCARD MPS4- SEOD027584 (MPSEFT) KING DOUGH II ONLINE ORDE OFFLINE DEBIT,,26.32,debit,,,,,
11/03/2020,WITHDRAWAL-ACH-A-ACHDEB WEBTARGET CARD SRVC (AUTO PYMT),,41.0,debit,,,,,
11/03/2020,WITHDRAWAL  @ IN INDIANAPOLIS 02311 RAYMOND & SHUSCVS/PHARMACY #02  Trace #35598,,5.34,debit,,,,,
11/03/2020,WITHDRAWAL  @ IN Indianapolis Speedway 2053 S SheUSSpeedway 2053 S  Trace #838962,,7.07,debit,,,,,
11/02/2020,WITHDRAWAL  @ CA HTTPSWWW.UPLI UPLIFT INC. USUPLIFT INC.  Trace #29820,,35.49,debit,,,,,
